player_name,player_id,timeframe,aLevel,Age,TeamName,error
Tyler Matzek,sa500725,last_30,AAA,34.0,NYY (AAA),Total row not found (advanced) | Total row not found (standard)
Tyler Matzek,sa500725,last_15,AAA,34.0,NYY (AAA),Total row not found (advanced) | Total row not found (standard)
Tyler Matzek,sa500725,last_45,AAA,34.0,NYY (AAA),Total row not found (advanced) | Total row not found (standard)
Tyler Matzek,sa500725,last_60,AAA,34.0,NYY (AAA),Total row not found (advanced) | Total row not found (standard)
Kyle Gibson,sa500733,last_15,AAA,37.0,- - -,Total row not found (advanced) | Total row not found (standard)
Andrew Bellatti,sa501686,last_45,AAA,33.0,SDP (AAA),Total row not found (advanced) | Total row not found (standard)
Andrew Bellatti,sa501686,last_60,AAA,33.0,SDP (AAA),Total row not found (advanced) | Total row not found (standard)
Andrew Bellatti,sa501686,last_30,AAA,33.0,SDP (AAA),Total row not found (advanced) | Total row not found (standard)
Andrew Bellatti,sa501686,last_15,AAA,33.0,SDP (AAA),Total row not found (advanced) | Total row not found (standard)
Chasen Shreve,sa549074,last_60,AAA,34.0,ATL (AAA),Total row not found (advanced) | Total row not found (standard)
Chasen Shreve,sa549074,last_45,AAA,34.0,ATL (AAA),Total row not found (advanced) | Total row not found (standard)
Chasen Shreve,sa549074,last_30,AAA,34.0,ATL (AAA),Total row not found (advanced) | Total row not found (standard)
Chasen Shreve,sa549074,last_15,AAA,34.0,ATL (AAA),Total row not found (advanced) | Total row not found (standard)
David Buchanan,sa501549,last_45,AAA,36.0,TEX (AAA),Total row not found (advanced) | Total row not found (standard)
David Buchanan,sa501549,last_60,AAA,36.0,TEX (AAA),Total row not found (advanced) | Total row not found (standard)
David Buchanan,sa501549,last_15,AAA,36.0,TEX (AAA),Total row not found (advanced) | Total row not found (standard)
David Buchanan,sa501549,last_30,AAA,36.0,TEX (AAA),Total row not found (advanced) | Total row not found (standard)
Drew Pomeranz,sa390654,last_45,AAA,36.0,SEA (AAA),Total row not found (advanced) | Total row not found (standard)
Drew Pomeranz,sa390654,last_15,AAA,36.0,SEA (AAA),Total row not found (advanced) | Total row not found (standard)
Erasmo Ramírez,sa504792,last_15,AAA,35.0,MIN (AAA),"HTTPSConnectionPool(host='www.fangraphs.com', port=443): Read timed out. (read timeout=10) | "
Scott Alexander,sa526516,last_60,AAA,35.0,SFG (AAA),"HTTPSConnectionPool(host='www.fangraphs.com', port=443): Read timed out. (read timeout=10) | "
